en,ig
Details:,Ndesịta ozi ndị ahụ:
File Operations,Usoroiheomume nke a kara chọọ
Preparing,Ńkwádó idebata...
Edit,Dezie
Undo Edit,Wepụtagharịa ndezi ehichara ehicha
Undo the edit,Wepụtagharịa ndezi ahụ ehichara ehicha
Redo Edit,Megharịa ndezi
Redo the edit,Megharịa ndezi ahụ
File Browser,Ome nchọgharị faịlụ
Browse the file system with the file manager,Chọgharịa faịlụsistem ahụ ya na onyenlekọta faịlụ
File Management,Nlekọta faịlụ
Home Folder,Nsomebefaịlụ nke ụlọ
Open your personal folder,Mepee nsomebefaịlụ perentị ahụ
File Manager,Onyenlekọta faịlụ
Background,Okpuru
E_mpty Trash,G_hewe ebemkpofuozi oghe
Create L_auncher...,Kewapụta o_membubata
Create a new launcher,Kewapụta omembubata ọfụụ
Change Desktop _Background,Gbanwe _okpuru desktọ́ọ̀pụ̀
Show a window that lets you set your desktop background's pattern or color,Gosi windo nke na-enyere gị aka ịhazi usoro okpuru desktọ́ọ̀pụ̀ gị mọọbụ
Empty Trash,Ghewe ebemkpfuozi oghe
Delete all items in the Trash,Hichaa ihenhọrọ niile n'ime ebemkpofuozi
The desktop view encountered an error.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
The desktop view encountered an error while starting up.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
There was an error displaying help.,Enwere ndehie mgbe a na-egosi nnyemaka.
Select Items Matching,Họrọ ihenhọrọ niile ndị ahụ na windo a
_Pattern:,_Usoro:
Search _name:,Aha _ụcha:
_Folder:,_Nsomebefaịlụ:
"""%s"" selected","""%s"" a họrọla"
%s (%s),%s (ndebata)%s
"%s, Free space: %s","%s, ohere a hapụrụ: %s,"
"%s%s, %s","%s%s, %s"
"The folder ""%s"" contains more files than Nautilus can handle.","Nsomebefaịlụ ""%s"" ahụ nwere ọtụtụ faịlụ karịa ka Nautilus ga-arụnwu."
Some files will not be displayed.,Agaghị egosi ụfọdụ faịlụ.
Open with %s,Jiri mepee %s
"Run ""%s"" on any selected items","Bido ""%s"" n'otu n'ime ihenhọrọ ndị a a họọrọ"
"Create Document from template ""%s""","Kewapụta dọkumentị na templéètì ""%s"""
All executable files in this folder will appear in the Scripts menu.,Faịlụ niile ndị dị̄ mbido n'ime nsomebefaịlụ a ga-apụta n'ihendesịta menu.
Choosing a script from the menu will run that script with any selected items as input.,Ịhọrọ ihendesịta na menu ga-ebido ihendesịta ahụ ya na ihenhọrọ nke ahụ a họrọla dịka ntinyeihe.
"All executable files in this folder will appear in the Scripts menu. Choosing a script from the menu will run that script. When executed from a local folder, scripts will be passed the selected file names. When executed from a remote folder (e.g. a folder showing web or ftp content), scripts will be passed no parameters. In all cases, the following environment variables will be set by Nautilus, which the scripts may use: NAUTILUS_SCRIPT_SELECTED_FILE_PATHS: newline-delimited paths for selected files (only if local) NAUTILUS_SCRIPT_SELECTED_URIS: newline-delimited URIs for selected files NAUTILUS_SCRIPT_CURRENT_URI: URI for current location NAUTILUS_SCRIPT_WINDOW_GEOMETRY: position and size of current window","Faịlụ niile dị̄ mbido na nsomebefaịlụ a ga-apụta na ndesịta menu. Ịhọrọ ihendesịta na menu ahụ ga-ebido ihendesịta ahụ. Mgbe ewepụtara ya na nsomebefaịlụ keụlọ, ihendesịta a ga-anata ahafaịlụ ndị ahụ ahọọrọ. Mgbe ewepụtara ya na nsomebefaịlụ rimootu (ọmụmatụ. nsomebefaịlụ na-egosi weebụ mọọbụ ndịna ftp), agaghị ewegara ihendesịta paramita. NUATILUS_SCRIPT_SELECTED_FILE_PATHS: akaraọfụụ-dilimitéèdị̀ páàtị̀ maka faịlụ ndị a họọrọ (ma ọbụrụ sọsọ keụlọ) NAUTILUS_SCRIPT_SELECTED_URIS: akaraọfụụ-dilimitéèdị̀ páàtị̀ maka faịlụ ndị a họọrọ NAUTILUS_SCRIPT_URI: URI maka ebe keugbua NAUTILUS_SCRIPT_WINDOW_GEOMETRY: ebe na ụhara nke windo nọ mgbe ahụ"
"""%s"" will be moved if you select the Paste command","""%s"" A ga-akpụgha ya ma ọ bụrụ na ịhọrọ mmapanye faịlụ ntiiwu"
"""%s"" will be copied if you select the Paste command","""%s"" A ga-edebata ya ma ọ bụrụ na ịhọrọ Mmapanye Faịlụ Ntiiwu"
There is nothing on the clipboard to paste.,Onweghị ihe nọ n'ébéōchékwáōzím̀gbèńtà a ga-amapanye.
Unable to unmount location,Gaa n'ebe kọmputa
Unable to eject location,Gaa n'ebe kọmputa
Unable to stop drive,Enwenwughị ike idochi faịlụ
Connect to Server %s,Banye na sava %s
_Connect,_Banye
Link _name:,Aha _ụzọ njikọ:
The item cannot be restored from trash,"Agaghị enwenwu ""%s"" ike ikpụga faịlụ ahụ n'ebemkpofuozi."
Create _Document,Kewapụta _dọkumentị
Open Wit_h,Jiri mepe_e
Choose a program with which to open the selected item,Họrọ program nke a ga-emepe ihenhọrọ nke ahụ a họọrọ
_Properties,_Ngwaọrụ ndị ahụ
View or modify the properties of each selected item,Gosi mọọbụ megharịa ngwaọrụ ihenhọrọ nke a họọrọ nke ọbụla
View or modify the properties of the open folder,Gosi mọọbụ megharịa ngwaọrụ ihenhọrọ nke a họọrọ nke ọbụlacreate folder
Create _Folder,Kewapụta _Nsomebefaịlụ
Create a new empty folder inside this folder,Kewapụta nsomebefaịlụ ọfụụ ghe oghe n'ime nsomebefaịlụ a
No templates installed,Onweghị templéètì ewunyere
_Empty File,_Ghewe faịlụ oghe
Create a new empty file inside this folder,Kewapụta faịlụ ọfụụ ghe oghe n'ime nsomebefaịlụ a
Open the selected item in this window,Mepee ihenhọrọ nke ahụ a họrọla na windo a
Open in Navigation Window,Mepee na windo ngagharị
Open each selected item in a navigation window,Mepee ihenhọrọ nke a họọrọ nke ọbụla na windo ngagharịopen in new tab
Open in New _Tab,Mepee na windo ọfụụ
Open each selected item in a new tab,Mepee ihenhọrọ nke a họọrọ nke ọbụla na windo ngagharị
Open in _Folder Window,Mepee na windo ọfụụ
Open each selected item in a folder window,Mepee ihenhọrọ nke a họọrọ nke ọbụla na windo ngagharị
Other _Application...,Mepee ya na _usoroiheomume ndị ọzọ...
Choose another application with which to open the selected item,Họrọ usoroiheomume nke a ga-emepe ihenhọrọ nke ahụ a họọrọ
Open with Other _Application...,Mepee ya na _usoroiheomume ndị ọzọ...
_Open Scripts Folder,_Mepee ihendesịta nsomebefaịlụ
Show the folder containing the scripts that appear in this menu,Gosi nsomebefaịlụ ahụ nke nwere ihendesịta na-apụta na menu a
Prepare the selected files to be moved with a Paste command,Kwado faịlụ ndị ahụ a họọrọ ka ejiri ntiiwu faịlụ mmapanye kpughaa ha
Prepare the selected files to be copied with a Paste command,Kwado faịlụ ndị ahụ a họọrọ ka ejiri ntiiwu faịlụ mmapanye debata ha
Move or copy files previously selected by a Cut or Copy command,Kpụgha mọọbụ debata faịlụ ndị a họrọburu site n'ihicha faịlụ mọọbụ debata faịlụ ntiiwu
_Paste Into Folder,_Mapanye faịlụ ndị ahụ n'ime nsomebefaịlụ
Move or copy files previously selected by a Cut or Copy command into the selected folder,Kpụgha mọọbụ debata faịlụ ndị a họrọburu site n'ihicha faịlụ mọọbụ debata faịlụ ntiiwu n'ime nsomebefaịlụ a họọrọ
Select all items in this window,Họrọ ihenhọrọ niile ndị ahụ na windo a
Select I_tems Matching...,_Họrọ aịkọn emeredịkachọrọ...
Select items in this window matching a given pattern,Họrọ ihenhọrọ ndị a na windo a nke dabara n'usoro enyere
D_uplicate,M_egharịanụdị
Duplicate each selected item,Megharịanụdị nke ihenhọrọ nke obụla a họọrọ
Create a symbolic link for each selected item,Kewapụta ụzọ njikọ sìmbọ́līìkì maka ihenhọrọ nke ọbụla a họọrọ
_Rename...,_Bagharịa aha...
Rename selected item,Bagharịa ihenhọrọ ahụ a họọrọ aha
Move each selected item to the Trash,Kpụga ihenhọrọ nke ọbụla a họọrọ n'ebemkpofuozi
_Delete,_Hichaa
"Delete each selected item, without moving to the Trash","Hichaa ihenhọrọ nke ọbụla a họọrọ, na-akpụgaghị n'ebemkpofuozi"
_Restore,_MegharịaReset to DefaultsShow hidden files
Reset View to _Defaults,Hazigharịa ngosi na _Dìfọ́ọ̀ltụ̀ ndị ahụ
Reset sorting order and zoom level to match preferences for this view,Hazigharịa iwu nhazi ma ógó zum ka ọdaba na nkarachọ maka ngosi a
Connect To This Server,Banye na sava a
Make a permanent connection to this server,Mèé nsụnye apụghị apụ na sava a
_Mount,_Maka
Mount the selected volume,Welite ụda ahụ a họọrọ
Unmount the selected volume,Ewelitekwala ụda ahụ a họọrọ
Eject the selected volume,Wepụ ụda ahụ a họọrọ
_Format,_Ọdịdị:
Format the selected volume,Welite ụda ahụ a họọrọ
Start the selected volume,Welite ụda ahụ a họọrọ
Stop the selected volume,Welite ụda ahụ a họọrọ
Detect media in the selected drive,Wepụ ụda ahụ a họọrọ
Eject the volume associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Start the volume associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Stop the volume associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Open File and Close window,Mepee faịlụ ma Mechie windo
Open this folder in a navigation window,Mepee ihenhọrọ nke a họọrọ nke ọbụla na windo ngagharị
Open this folder in a new tab,Mechie perentị nsomebefaịlụ a
Open this folder in a folder window,Mepee faịlụ ma Mechie windo
Prepare this folder to be moved with a Paste command,Kwado faịlụ ndị ahụ a họọrọ ka ejiri ntiiwu faịlụ mmapanye kpughaa ha
Prepare this folder to be copied with a Paste command,Kwado faịlụ ndị ahụ a họọrọ ka ejiri ntiiwu faịlụ mmapanye debata ha
Move or copy files previously selected by a Cut or Copy command into this folder,Kpụgha mọọbụ debata faịlụ ndị a họrọburu site n'ihicha faịlụ mọọbụ debata faịlụ ntiiwu n'ime nsomebefaịlụ a họọrọ
Move this folder to the Trash,Ịkpụga faịlụ na n'ebemkpofuozi
"Delete this folder, without moving to the Trash","Hichaa ihenhọrọ nke ọbụla a họọrọ, na-akpụgaghị n'ebemkpofuozi"
Mount the volume associated with this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Unmount the volume associated with this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Eject the volume associated with this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Format the volume associated with this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Start the volume associated with this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Stop the volume associated with this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
View or modify the properties of this folder,Gosi mọọbụ megharịa ngwaọrụ ihenhọrọ nke a họọrọ nke ọbụla
Run or manage scripts from %s,Bido mọọbụ lekọta ihendesịta na ~/.gnome2/ihendesịta-nautilus
_Scripts,_Ihendesịta ndị ahụ
Start the select drive,Welite ụda ahụ a họọrọ
Connect to the selected drive,Wepụ ụda ahụ a họọrọ
Unlock the selected drive,Ewelitekwala ụda ahụ a họọrọ
Stop the selected drive,Welite ụda ahụ a họọrọ
_Safely Remove Drive,H_ichaa wepụ
Safely remove the selected drive,Welite ụda ahụ a họọrọ
_Disconnect,_Banye
Disconnect the selected drive,Wepụ ụda ahụ a họọrọ
Lock the selected drive,Welite ụda ahụ a họọrọ
Start the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Connect to the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Start the multi-disk drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Unlock the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
_Stop the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Safely remove the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Disconnect the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Stop the multi-disk drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Lock the drive associated with the open folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
Start the selected drive,Welite ụda ahụ a họọrọopen in new window
Open in New _Window,Mepee na windo ọfụụ
Browse in New _Window,Mepee na windo ọfụụ
Browse in New _Tab,Chọgharịa na _ikukumgbasaozi
_Delete Permanently,Hichaa ozugbo?
Delete the open folder permanently,Hichaa ihenhọrọ niile ndị ahụ a họọrọ kpam kpam
Move the open folder to the Trash,Ịkpụga faịlụ na n'ebemkpofuozi
_Open with %s,Jiri mepee %s
Delete all selected items permanently,Hichaa ihenhọrọ niile ndị ahụ a họọrọ kpam kpam
Download location?,Bubata ebe?
You can download it or make a link to it.,Í nwèrè ike ibubata ya mọọbụ méé ụzọ njikọ na ya.
Make a _Link,Mepụta _ụzọ njikọ
_Download,_Bubata
Drag and drop is not supported.,Àkwádòghị̀ dọ̀ọ́ na tọgbọ.
Drag and drop is only supported on local file systems.,A na-akwadọ ọdịdọ na ntọgbọ na sistem faịlụ keụlọ.
An invalid drag type was used.,Ejirila ụdị ọdịdọ nke na-enweghị isi.
Comment,Okwu
Description,Nkọwa
Command,Ntiiwu
"You do not have the permissions necessary to view the contents of ""%s"".","Inweghị ikike kwesịrịnụ n'igosi ndịna nke ""%s""."
"""%s"" could not be found. Perhaps it has recently been deleted.","""%s"" achọtaghị ya. onwere ike bụrụ nà á kà hichapụrụ ya."
"Sorry, could not display all the contents of ""%s"": %s","Ndọ, Agaghị egosinwu ndịna niile ahụ nke ""%s""."
The folder contents could not be displayed.,Agaghị egosinwu ndịna nsomebefaịlụ ahụ.
"The name ""%s"" is already used in this folder. Please use a different name.","Éjìríláàrị́ị̀ aha ""%s"" ahụ rụọ ọrụ na nsomebefaịlụ a. Biko jiri aha ọzọ."
"There is no ""%s"" in this folder. Perhaps it was just moved or deleted?","Enweghị ""%s"" na nsomebefaịlụ a. onwere ike bụrụ na akpụghara ya mọọbụ na ehichara ya?"
"You do not have the permissions necessary to rename ""%s"".","Inweghị ikikere kwesịrịnụ ịbagharị aha ""%s""."
"The name ""%s"" is not valid because it contains the character ""/"". Please use a different name.","Aha ahụ ""%s"" enweghị isi maka na o nwere mkpụrụ okwu ahụ ""/"". Biko jiri aha ọzọ."
"The name ""%s"" is not valid. Please use a different name.","Aha ahụ ""%s"" enweghị isi. Biko jiri aha ọzọ."
"Sorry, could not rename ""%s"" to ""%s"": %s","Ndo, abanwughị aha ""%s"" na ""%s""."
The item could not be renamed.,Abagharịnwughị aha ihenhọrọ ahụ.
"You do not have the permissions necessary to change the group of ""%s"".","Inweghị ikike kwesịrịnụ igbanwe òtù nke ""%s""."
"Sorry, could not change the group of ""%s"": %s","Ndọ, Agbanwenwughị òtù ahụ nke ""%s""."
The group could not be changed.,Agaghị agbanwenwu òtù ahụ.
"Sorry, could not change the owner of ""%s"": %s","Ndọ, Agbanwenwughị ónyénwē nke ""%s""."
The owner could not be changed.,Agbanwenwughị ónyénwē.
"Sorry, could not change the permissions of ""%s"": %s","Ndọ, Agbanwenwughị ikike ahụ nke ""%s""."
The permissions could not be changed.,Agbanwenwughị ikike ahụ.
"Renaming ""%s"" to ""%s"".","Ibagharị aha ""%s"" to ""%s""."
by _Name,Site _n'aha
Keep icons sorted by name in rows,Desa aịkọn n'ụdị nhazi site n'aha na mpagharauhie ndị ahụ
by _Size,Site _n'ụhara
Keep icons sorted by size in rows,Desa aịkọn n'ụdị nhazi site n'ụhara na mpagharauhie ndị ahụ
by _Type,Site _n'ụdị
Keep icons sorted by type in rows,Desa aịkọn n'ụdị nhazi site n'ụdị na mpagharauhie ndị ahụ
by Modification _Date,Site na mmeghari _ụbọchị
Keep icons sorted by modification date in rows,Desa aịkọn n'ụdị nhazi site n'mmegharị ụbọchị na mpagharauhie ndị ahụ
by _Emblems,Site _n'akara ndị ahụ
Keep icons sorted by emblems in rows,Desa aịkọn n'ụdị nhazi site n'akara na mpagharauhie ndị ahụ
Arran_ge Items,Haz_ie ihenhọrọ ndị ahụ
Stretc_h Icon...,Gba_tịa aịkọn
Make the selected icon stretchable,Mèé ka aịkọn ahụ a họọrọ dị mgbatị
Restore Icons' Original Si_zes,Weghachi ụhara iz_izi nke aịkọn
Restore each selected icon to its original size,Weghachi aịkọn nke ọbụla a họọrọla n'ụhara nke izizi ya
Clean _Up by Name,Nhicha _site n'aha
Reposition icons to better fit in the window and avoid overlapping,Aịkọn mkpụgharị ga-aka daba na windo ma zere mmabanye
Compact _Layout,Ndozi _akpakọlatara akpakọlata
Toggle using a tighter layout scheme,Tọgụlụọ n'iji ndozi taịta n'usoro ọrụ
Re_versed Order,Nt_ugharị ihu iwu nhazi
Display icons in the opposite order,Gosi aịkọn na iwu nhazi ntụgharị ihu
_Keep Aligned,_Gbado na ndozi ahụ
Keep icons lined up on a grid,Gbado aịkọn ka aha nọrọ n'usoro gríìdì
_Manually,_N'ụdị nlereanya
Leave icons wherever they are dropped,Hapụ aịkọn n'ebe ọbụla a hapụrụ ha
By _Name,Site _n'aha
By _Size,Site _n'ụhara
By _Type,Site _n'ụdị
By Modification _Date,Site na mmegharị _ụbọchị
By _Emblems,Site _n'akara
Restore Icon's Original Si_ze,Weghachi ụhara iz_izi nke aịkọn
"pointing at ""%s""","Ítụ̀ nà ""%s"""
_Icons,_Aịkọn ndị ahụ
The icon view encountered an error.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
The icon view encountered an error while starting up.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
Display this location with the icon view.,"Gosi ebe a ya na ""%s"""
_Compact,_Kọmputa
The compact view encountered an error.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
The compact view encountered an error while starting up.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
Display this location with the compact view.,"Gosi ebe a ya na ""%s"""
(Empty),(Ghewe oghe)
Loading...,Na-edebata...
%s Visible Columns,%s Mpagharaogologo ndị ahụ ahụrụanya
Choose the order of information to appear in this folder:,Họrọ iwu nhazi nke ozi ka ọpụta na nsomebefaịlụ a.
Visible _Columns...,Mpagharaogologo ndị ahụ _ahụrụanya...
Select the columns visible in this folder,Họrọ mpagharaogologo ndị ahụ ahụrụanya na nsomebefaịlụ a
_List,_Ndesịta
The list view encountered an error.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
The list view encountered an error while starting up.,Ngosi %s ahụ banyere na ndehie mgbe ọ na-ebido.
Display this location with the list view.,"Gosi ebe a ya na ""%s"""
You cannot assign more than one custom icon at a time!,Igaghị enye ọrụ karịa otu aịkọn emeredịkachọrọ n'otu oge!
Please drag just one image to set a custom icon.,Biko dọ̀ọ́ sọsọ otu inyogo ka a hazie aịkọn emeredịkachọrọ.
The file that you dropped is not local.,Faịlụ ahụ ị́tọ̀gbọ̀rọ̀ abụghị nkeụlọ.
You can only use local images as custom icons.,Ínwèrè ike iji inyogo nkeụlọ dịka aịkọn nkeụlọ.
The file that you dropped is not an image.,Faịlụ ahụ ị́tọ̀gbọ̀rọ̀ abụghị inyogo.
Properties,Ngwaọrụ ndị ahụ
%s Properties,%s Ngwaọrụ ndị ahụMIME type description (MIME type)
Cancel Group Change?,Wepụ mgbanwe òtù?
Cancel Owner Change?,Wepụ mgbenwe ónyénwē?
nothing,Onweghị
unreadable,Agaghị agụnwu ya agụ
(some contents unreadable),(agaghị agụnwụ ụfọdụ ndịna)Contents:
Contents:,Ndịna ụfọdụ:used
used,free
free,Tríì
Filesystem type:,Faịlụsistem
Basic,Nkeisi
Type:,Ụdị:
Link target:,Tágēètị̀ ụzọ njikọ:
Size:,Ụhara:
Location:,Ebe:
Volume:,Ụda:
Accessed:,Ikikembanye:
Modified:,Emegharịrị:
Free space:,Ohere a hapụrụ:
Emblems,Akara ụfọdụ
_Read,_Wepụta ọzi
_Write,_Chekwaa ozi
E_xecute,B_ido ọrụno readno access
list,Ndesịta
read,_Wepụta ọzi
write,_Chekwaa ozi
access,Ikikembanye:
Access:,Ikikembanye:
Folder access:,Abanyego ụbọchị
File access:,Abanyego ụbọchị
None,Onweghị
List files only,Faịlụ ndị nke ụlọ sọsọ
Access files,Ikikembanye:
Create and delete files,Ịkewapụta njikọ na faịlụ ndị ahụ
Read and write,Megharịa ndezi
Set _user ID,Hazie _ID ojieme
Special flags:,Fláàgị̀ ndị ahụ pụrụ iche:
Set gro_up ID,Hazie ID ò_tù
_Sticky,_Stíkì
_Owner:,Ónyénwē:
Owner:,Ónyénwē:
_Group:,Òtù:
Group:,Òtù:
Others,Ndị ọzọ:
Execute:,B_ido ọrụ
Others:,Ndị ọzọ:
Folder Permissions:,Ikikere
File Permissions:,Ikikere
Text view:,Ngosi ngwe:
"You are not the owner, so you cannot change these permissions.","Ọ bụghị gị nwà nwé, ya bụ na ịgaghị agbanwe ikike a."
Last changed:,Nke agbanwere ikpeazụ:
Apply Permissions to Enclosed Files,Ikikere nke faịlụ ahụ.
"The permissions of ""%s"" could not be determined.","Ikike ahụ nke ""%s"" agaghị atachịtere ya obi."
The permissions of the selected file could not be determined.,Agaghị atachitere ikike nke faịlụ nke ahụ a họọrọ obi.
Creating Properties window.,Ikewapụta ngwaọrụ windo.
Select Custom Icon,_Họrọ aịkọn emeredịkachọrọ...
File System,Faịlụsistem
Network Neighbourhood,Ebe ikukumgbasaozi
Tree,Tríì
Show Tree,Gosi %s
"Nautilus could not create the required folder ""%s"".","Nautilus ekewapụtanwughị nsomebefaịlụ ahụ a chọrọ ""%s""."
"Before running Nautilus, please create the following folder, or set permissions such that Nautilus can create it.","Tupuu ibido Nautilus, biko kewapụta nsomebefaịlụ na-esonụ, mọọbụ hazie ikike n'ụzọ nautilus ga-ekewapụtanwu ya."
Nautilus could not create the following required folders: %s.,Nautilus ekewapụtanwughị nsomebefaịlụ ndị a chọrọ na-esonụ: %s.
"Before running Nautilus, please create these folders, or set permissions such that Nautilus can create them.","Tupuu ibido Nautilus, biko kewapụta nsomebefaịlụ ndị a, mọọbụ hazie ikike n'ụzọ nautilus ga-ekewapụtanwu ha."
Unable to eject %s,Enwenwughị ike idochi faịlụ
There was an error displaying help: %s,Enwere ndehie mgbe a na-egosi nnyemaka: %s
No bookmarks defined,Enweghị ebe ndesịta ngosi ebe na faịlụ a kọwarala
Edit Bookmarks,Dezie ebe ndesịta ngosi ebe faịlụ
_Bookmarks,_Ebe ndesịta ngosi ebe na faịlụ
_Name,_Aha
_Location,_Ebe
"Cannot display location ""%s""","Agaghị egosinwu ebe ""%s"""
Add connect to server mount,Banye na sava %s
Custom Location,Ebe emeredịkachọrọ
SSH,SSH
Public FTP,FTP keọ̀hà
FTP (with login),FTP (ya na mbanye)
Windows share,Òkìké windo ndị ahụ
WebDAV (HTTP),Wéèbụ̀DAV (HTTP)
Secure WebDAV (HTTPS),Chekwa Wéèbụ̀DAV (HTTPS)
Cannot Connect to Server. You must enter a name for the server.,Í gà-etinyerịrị aha maka sava ahụ.
Please enter a name and try again.,Biko tinye aha ma nwàá ọzọ.
_Location (URI):,_Ebe (URI):
_Server:,_Sava:
Optional information:,Ozi dị nhọrọ:
_Share:,_Òkè:
_Port:,_Ụzọ nwepụ na nweba data:
_User Name:,_Aha ojieme:
_Domain Name:,_Aha:
Bookmark _name:,Aha _ụcha:
Connect to Server,Banye na sava
Service _type:,Ụdị ụzọ _njikọ:
Add _bookmark,_Gbakwunye ebe ndesịta ngosi ebe
C_onnect,B_anye
Desktop,Desktọ́ọ̀pụ̀
Could not remove emblem with name '%s'.,Ewepụnwughị akara ya na aha '%s'.
"This is probably because the emblem is a permanent one, and not one that you added yourself.","Nke a nwere ike bụrụ maka na akara ahụ bụ otu nke nọpagịderenụ, na ọbụghị nke ahụitinyere n'onwe gị."
Could not rename emblem with name '%s'.,Abagharịnwughị aha akara ya na aha '%s'.
Rename Emblem,Abagharịnwughị aha akara
Enter a new name for the displayed emblem:,Tinye aha ọfụụ maka akara ahụ egosirila:
Rename,Bagharịa aha
Add Emblems...,Gbakwunye akara ndị ahụ...
Enter a descriptive name next to each emblem. This name will be used in other places to identify the emblem.,Tinye aha nkọwa n'agụgụ akara. A ga-eji aha a n'ebe ndị ọzọ ka ewere gosipụta akara ahụ.
Enter a descriptive name next to the emblem. This name will be used in other places to identify the emblem.,Tinye aha nkọwa n'agụgụ akara. A ga-eji aha a n'ebe ndị ọzọ ka ewere gosipụta akara ahụ.
Some of the files could not be added as emblems.,Agaghị etinye ụfọdụ faịlụ dịka akara.
The emblems do not appear to be valid images.,Akara ahụ apụtaghị ka ọ bụrụ inyogo ndị nwereisi.
None of the files could be added as emblems.,Enweghị faịlụ ndị a ga-etinyenwu n'akara ndị ahụ.
The file '%s' does not appear to be a valid image.,Faịlụ ahụ '%s' abughị inyogo nwereisi.
The dragged file does not appear to be a valid image.,Ngwe nke ahụ adọgara ebe ọzọ abụghị ebe faịlụ nwereisi.
The emblem cannot be added.,Agaghị etinyenwu akara ahụ.
Show Emblems,Akara ụfọdụ
Always,Mgbe ọbụla
Local Files Only,_Faịlụ keụlọ sọsọ
Never,Enweghị
100 KB,100 KB
500 KB,500 KB
File Management Preferences,Nlekọta faịlụ nkarachọ
Default View,Ngosi Dìfọ́ọ̀ltụ̀
View _new folders using:,Gosi _nsomebefaịlụ ndị ọfụụ n'iji:
_Arrange items:,_Hazie ihenhọrọ ndị ahụ:
Sort _folders before files,Hazie _nsomebefaịlụ ndị ahụ tupuu faịlụ ndị ahụ
Show hidden and _backup files,Gosi faịlụ ndị ezoro ezo na nke ndị _agbakwunyere agbakwunye
Icon View Defaults,Dìfọ́ọ̀ltụ̀ ngosi aịkọn
Default _zoom level:,Ogo zum Dìfọ́ọ̀ltụ̀:
_Use compact layout,_Jiri ndozi ejikọlatara ejikọlata
_Text beside icons,_Ziga ngwe n'akụkụ aịkọn ndị ahụ
_Default zoom level:,_Ógó zum dìfọ́ọ̀ltụ̀:
List View Defaults,Dìfọ́ọ̀ltụ̀ ngosi ndesịta
D_efault zoom level:,Ogo zum Dìfọ́ọ̀ltụ̀:
Tree View Defaults,Dífọ́ọ̀ltụ̀ ngosi tríì
Show _only folders,Gosi _sọsọ nsomebefaịlụ ndị ahụ
Views,Ngosi ndị ahụ
Behavior,Agwa
_Single click to open items,_Pịa otu ugboro ka ibido ọrụ ihenhọrọ ndị ahụ
_Double click to open items,_Pịapịkwasa ka ibido ọrụ ihenhọrọ ndị ahụ
Always open in _browser windows,Na-emepe na _windo omenchọgharị
Executable Text Files,Faịlụ ngwe ndị dị̄ mbido
_Run executable text files when they are opened,_Bido faịlụ ngwe ndị dị̄ mbido mgbe a pịrị ha
_View executable text files when they are opened,_Gosi faịlụ ngwe ndị dị̄ mbido mgbe a pịrị ha
Trash,_Aha
Ask before _emptying the Trash or deleting files,Jụọ tupuu ighewe ebemkpofuozi ahụ oghe mọọbụ ihicha faịlụ ndị ahụ
I_nclude a Delete command that bypasses Trash,Tinye ntiiwu nhicha nke na-agafere ebemkpofuozi
Icon Captions,_Ebe
Choose the order of information to appear beneath icon names. More information will appear when zooming in closer.,Họrọ iwu nhazi nke ozi ka ọpụta n'okpuru aha aịkọn. Ozi ọzọ ga-apụta mgbe á nà-èzúùmú nso nso.
Date,_Aha
_Format:,_Ọdịdị:
Display,Gosi
List Columns,Ndesịta mpagharaogologo ndị ahụ
