,en,ig
10269,as much as,ka.....ra
10270,every single one,ka.....ra
10271,entirely,ka.....ra
10272,The teacher flogged all his pupils,Onye nkụzi pịagbadọlụ ụmụ akwụkwọ ya ịtalị
10273,The teacher flogged all his pupils,ka fa niine ra
10274,every single one of them,Onye nkụzi pịagbadọlụ ụmụ akwụkwọ ya ịtalị
10275,every single one of them,ka fa niine ra
10276,I want to see all the dancers,Achọlụ m ịfụ ndị egwu niine ka fa ra
10277,I want all of us to go,Achọlụ m ka anyị ra je
10278,in order that,ka.....wee
10279,so that,ka.....wee
10280,Write to me so that I may know you have arrived,Detalụ m akwụkwọ ka m wee malụ na ị nalugo
10281,goodbye,keemesịa
10282,the present,kọụ  dị nwọọ
10283,in my present  position,etu m dị ka m dị nwọọ
10284,for that reason,ya ka.....j�
10285,so,ya ka.....j�
10286,therefore,ya ka.....j�
10287,Eke is short,Eke dị m kpụmkpụ ya ka e j� jụ iwe ya n'ọlụ afe ojii
10288,that is why he was not recruited into the police,Eke dị m kpụmkpụ ya ka e j� jụ iwe ya n'ọlụ afe ojii
10289,guess,ka
10290,guess,ka aka
10291,guess wrongly,kaf�e
10292,guess correctly,kata
10293,mark,ka
10294,fix,ka
10295,appoint,ka
10296,ceremony,ọkịka
10297,ceremonial drinking,ọkịka manya
10298,make arrangement,ka agba
10299,draw a line,ka akala
10300,mark,ka akala
10301,erase,kacha
10302,cancel,kacha
10303,cancel out,kachapụ
10304,fix again,kagha
10305,adjourn,kagha
10306,postpone,kagha
10307,re-fix,kaghalị
10308,postpone,kaghalị
10309,mark with chalk on ground,ka nzụ
10310,vaccinate,kanye
10311,inoculate,kanye
10312,speak,ka
10313,say,ka
10314,hold divine service,ka ụka
10315,converse,ka ụka
10316,quarrel,ka ụka
10317,afflict,ka
10318,torment,ka
10319,worry,ka
10320,Her crying is worrying me,Akwa ọ na-ebe na-aka m arụ
10321,my word,kaị
10322,my word,?
10323,goodness,kaị
10324,goodness,?
10325,my word,paị
10326,goodness,paị
10327,bottle,kalama
10328,bottle,kalamam
10329,rather than,kama
10330,lest,kama
10331,but rather,kama
10332,rather than,tụma
10333,lest,tụma
10334,but rather,tụma
10335,I would rather die than do this,Kama m ga-eme ife a m nwụa
10336,I shall attend the party,Aga m eje ọkịka afụ kama agarọ m eli ife ọbụna
10337,but I shall not take anything,Aga m eje ọkịka afụ kama agarọ m eli ife ọbụna
10338,Enter the house instead of standing in the rain,Baa n'ime ụnọ kama ị kwụlụ na mmili
10339,We shall come even if we do not eat /We must come,Anyị ga-abịa
10340,We shall come even if we do not eat /We must come,kama anyị aghalụ ili ife
10341,even if it means missing our food,Anyị ga-abịa
10342,even if it means missing our food,kama anyị aghalụ ili ife
10343,so much...that,kata
10344,to such an extent...that,kata
10345,I drank so much at a wedding yesterday that I almost burst,Anụkata m mmanya n'ebe anyị je agbamakwụkwọ ṅnyaafụ ọ fọ nwantịntị afọ m gbawaa
10346,If your servant is stubborn you will be worn out with talking,Ọ bụlụ na ọd�bọ gị nwe ntị ịke i kwukata okwụ �ke agwụ gị
10347,He talked so much that he became hoarse,O kwụkatalụ okwu akpịlị gụa ya
10348,goodbye,ka omesia
10349,goodbye,ka ọdi
10350,goodbye,ka ọdị
10351,goodbye,koodi
10352,goodbye,koodị kọodị
10353,informal},Ka anyi huni
10354,tie,ke
10355,tie,kechie
10356,tying,ọkike
10357,bind,ke agbụ
10358,get ready,kebe
10359,prepare,kedo
10360,tie on with rope,kedo
10361,He used a rope to tie up the yams,O j� ụdọ wee kedo ji
10362,He used a rope to tie up the yams,fiedo
10363,Tie that box on the car,Kedo akpat� afụ n'enu moto
10364,tighten,kedosi ike
10365,dress,ke ekike
10366,adorn,ke ekike
10367,He is dressed as a soldier,O kelụ ekike ndi agha
10368,cause abortion,ke ime
10369,join together,kekọta
10370,coil,kekụ
10371,coiling,kekụ
10372,coil,nkekụ
10373,coiling,nkekụ
10374,tie in a knot,kekpụ
10375,re-tie,kekwa
10376,prepare,kelụ
10377,break off premature yam shoots,ke ome ji
10378,bind yams in barn,ke ọba
10379,tie strongly,kesi ike
10380,tie with rope,ke ụdọ
10381,cord,ke ụdọ
10382,etc.,ke ụdọ
10383,tied or rolled tobacco,anwụlụ
10384,tied or rolled tobacco,ụtaba ekeleke
10385,bits of such tobacco retailed in small amounts,anwụlụ
10386,bits of such tobacco retailed in small amounts,ụtaba ekeleke
10387,shine,ke
10388,glitter,ke
10389,The lantern in the storey house is glittering like a star,Ọkụ dị n'ụnọ enu na-eke ka kpakpaṅdo
10390,The stone is glittering like gold,Okwute afụ na-egbuke ka goolu
10391,share,ke
10392,divide,ke
10393,sharing,ọk�ke
10394,dividing,ọk�ke
10395,make a will,ke ekpe
10396,give judgement,ke ikpe
10397,divide into two,ke �bụụ
10398,bisect,ke �bụụ
10399,divide into two,keji
10400,division,nkeji
10401,division into two halves,nkeji
10402,ankle,nkeji ụkwụ
10403,take one's share,kelụ
10404,take a share,kelụ oke
10405,take a share,ọke
10406,divide into small pieces,kemụ
10407,give a share,kenye
10408,give judgement,ke okwu
10409,settle a dispute,ke okwu
10410,divide out,kepụ
10411,separate from,kepụ
10412,divide equally,kera
10413,division,nkera
10414,sharing into equal parts,nkera
10415,distribute,kesa
10416,divide among,kesa
10417,take a share,keta
10418,inherit,keta
10419,I inherited a plot of land when our father died,Eketalụ mụ ọfu anị ọb� mgbe nna ayị nwụlụ
10420,sharing,nketa
10421,inheritance,nketa
10422,inheritance,ife nketa
10423,inheritor,onye nketa
10424,take a share,keta ọke
10425,divide off,kewa
10426,separate,kewa
10427,secede,kewalụ
10428,separate from,kewapụ
10429,deny a person a share,kewọ
10430,create,ke
10431,creating,ọk�ke
10432,creation,ọk�ke
10433,God created the world,Chukwu kelụ ụwa
10434,give  in marriage,ke
10435,betroth,ke
10436,betroth,kebe
10437,He betrothed his daughter to me,Ọ kebe m ada ya
10438,or He gave me his first daughter in marriage,Ọ kebe m ada ya
10439,betroth daughter to a man irregularly by going to bargain with him instead of waiting until the girl is asked for,keli
10440,give  in marriage,keli
10441,how? which?,kedu
10442,how? which?,kedụ
10443,How are you?,Kedụ ka i melụ Kedu ka imere
10444,How are you?,kedu ka idi
10445,How are you?,ọ dị mma
10446,How are you?,/ o di mma
10447,what is your name?,Kedu aha gị? kedu afa gị?
10448,what is your name?,aham bụ/ afam bụ
10449,how then?,kedụ azị
10450,where?,kedụ ebe?
10451,when?,kedụ ekpe?
10452,what? which thing?,kedụ ife?
10453,how is everything?,kedụ ka ihe dị?
10454,how is your family?,kedụ maka ezinulo gị?
10455,how is your husband?,kedụ maka digị?
10456,how is your wife?,kedụ maka nwunye gị?
10457,how is work?,kedụ maka ọlu?
10458,when?,kedụ mgbe?
10459,which?,kedụ nke
10460,when?,kedụ oge?
10461,who? which person?,kedụ onye?
10462,what is your opinion?,kedụ uche i?
10463,how then?,kedu zi
10464,how then?,kee zi
10465,where is the toilet?,ke ebe mposi di?
10466,since,kemgbe
10467,greet,ke ne
10468,thank,ke ne
10469,near,ke ta
10470,go near,jeketa
10471,nearer,jeketa
10472,Go near him,Jeketa ya nso
10473,draw near,kpụketa
10474,nearer,kpụketa
10475,Go up to that box,Kpụketa akpat� afụ
10476,or,Kpụketa akpat� afụ
10477,Draw that box nearer,Kpụketa akpat� afụ
10478,look at,k� li
10479,gaze at,k� li
10480,witness,k� li
10481,watch,k� li
10482,about,k� li
10483,up and down,k� li
10484,about,gba
10485,up and down,gba
10486,go about,gbak�li anị
10487,go or move about hesitantly,gbak�li anị
10488,worriedly,gbak�li anị
10489,at random,gbak�li anị
10490,The lorry you were to have taken to the market has left while you were busy fussing about,Moto ị ka eso je afịa enupụgo ebe ị na-agbak�li anị
10491,tiny size,kịlịkịlị
10492,He caught tiny fish,Ọ kụta ụmụ kịlịkịlị azụ
10493,be very tiny,dị kịlịkịlị
10494,small,dị kịlịkịlị
10495,I want small beans,Achọlụ m agwa dị kịlịkịlị
10496,coins,ego kịlịkịlị
10497,word used by children when trying to count stars at night,k�lị k�lị k�lị
10498,each number is preceded by this word,k�lị k�lị k�lị
10499,and they try to count as far as possible on one breath,k�lị k�lị k�lị
10500,now,kịtaa
10501,youth of nowadays,azị kịtaa
10502,smallpox,kịtịkpa
10503,hang,ko
10504,hang something on,kobe
10505,spread out to dry,kobe
10506,confer,kobe
10507,bestow,kobe
10508,honour,kobe ebụbe
10509,hang upon,kokwasị
10510,wrap a cloth about the body,kokwasị akwa
10511,remove from where hanging,kolu
10512,Remove it from here,Kọlu ya ebe a
10513,remove from where hanging,kopụ
10514,Remove it from here,Kopụ ya ebe a
10515,be arrested and suspended in fall,Kopụ ya ebe a
10516,used in - prepare,ko
10517,used in - prepare,kolu
10518,start,koni
10519,set out,koni
10520,swell,kọ
10521,distend,kọ
10522,bulge,kọ
10523,swelling,ọkụkọ
10524,distending,ọkụkọ
10525,bulging,ọkụkọ
10526,distend abdomen,kọ afọ
10527,This food is stodgy,Nni ṅkaa na-eko afọ
10528,writhe,kọ ekọ
10529,bubble,kọ ekọ
10530,froth,kọ ekọ
10531,ferment,kọ ekọ
10532,distend,kọ ekọ
10533,swell,kọ ekọ
10534,bulge,kọ ekọ
10535,be angry,kọ ọnụma
10536,swell with anger,kọ ọnụma
10537,put on airs,kọ ukọ
10538,show off,kọ ukọ
10539,be lavish in hospitality,kọ ukọ
10540,puff oneself up,kọ ukọ
10541,hook,kọ
10542,take with a hook,kọ
10543,catch,kọdo
10544,entangle,kọdo
10545,be entangled,kọdo
10546,creep,kọ ekọ
10547,climb,kọ ekọ
10548,hang up,kọni enụ
10549,cause trouble,kọ okwu
10550,invite quarrel,kọ okwu
10551,dispute,kọ okwu
10552,assault,kọ okwu
10553,see ọkọso,kọso
10554,see ọkọso,ọkọso
10555,tell,kọ
10556,relate,kọ
10557,guess,kọ
10558,telling,ọkụkọ
10559,relating,ọkụkọ
10560,guessing,ọkụkọ
10561,tell a story,kọ akụkọ
10562,give news,kọ akụkọ
10563,defame,kọcha
10564,revile,kọcha
10565,curse,kọcha
10566,defame,kọ ọnụ
10567,revile,kọ ọnụ
10568,curse,kọ ọnụ
10569,defamation,nkọcha
10570,reviling,nkọcha
10571,curse,nkọcha
10572,quarrel,kọ ọnụ
10573,abuse,kọ ọnụ
10574,revile,kọ ọnụ
10575,quarrel,kọcha
10576,abuse,kọcha
10577,revile,kọcha
10578,Ada and Chioma are quarrelling,Ada na Chioma na-akọ ọnụ
10579,Ada has been taunting Chioma  with her childlessness,Ada j� nnwa Chioma amụtarọ akọ ya ọnụ
10580,Ada has been taunting Chioma  with her childlessness,o lofugo na ọ bụ Chukwu na-ez�ta nwa
10581,she has forgotton it is God who sends children,Ada j� nnwa Chioma amụtarọ akọ ya ọnụ
10582,she has forgotton it is God who sends children,o lofugo na ọ bụ Chukwu na-ez�ta nwa
10583,reveal,kọsa
10584,declare,kọsa
10585,He has revealed what I told him,Ọ kọsago ife m gwalụ ya
10586,explain,kọwa
10587,introduce,kọwa
10588,Introduce him to me,Kọwalụ m ọnye ọ bụ
10589,interpret a proverb or parable,kọwa inu
10590,explain and set up new codes of ritual and political behaviour,kọwa ọdịnaanị
10591,explain and set up new codes of ritual and political behaviour,Nri
10592,scratch,kọ
10593,shave head,kọcha isi
10594,rub skin off hand,kọfịa
10595,shave head,kọ isi
10596,barb,kọ isi
10597,barber,ọk ọ isi
10598,scratch,kọ ọkọ
10599,itch,kọ ọkọ
10600,be dry,kọ
10601,dry,kọ akọ
10602,dry season,mgbe ọkoch�
10603,be scarce,kọ
10604,no longer obtainable,kọ
10605,I am short of money,Ego kọlụ m
10606,be scarce,kọ ụkọ
10607,practise sorcery against,kọ
10608,practise sorcery against,kọ nsi
10609,practise sorcery against,kọ ọgwụ
10610,together,kọ
10611,together,kọ
10612,sew together,dụkọ
10613,bring together with thread,gakọ
10614,She is threading the waistbeads together,Ọ na-agakọ j�g�da
10615,We want to draw water into a large container for tomorrow,Anyị na-achọ ịgbakọ mmili maka echi
10616,meet,jekọ
10617,walk together,jekọ
10618,all,kọ
10619,altogether,kọ
10620,gather and bring a whole number,chịkọta
10621,buy all,gokọlụ
10622,dry up completely,kpọkọlụ
10623,present action,kọ
10624,en route to,kọ
10625,I'm going to market,Ejekọ m afịa
10626,plant,kọ
10627,make a farm,kọ ugbo
10628,together,kọ
10629,together,kọ
10630,He bent my steel walking stick,Ọ nyakọlụ mkpọ igwe m
10631,He pressed the edges of my cup together,Ọ nyakọlụ �ko m
10632,come together,gbakọba
10633,The people have come together,Ndi mmadụ agbakọbago
10634,sit together,nọkọba
10635,I want you to sit together,Achọ m ka ụnụ nọkọba ọnụ
10636,heap together,tụkọba
10637,an old type of money,kọmkọm
10638,see ka,kọụ dị nwọọ
10639,see ka,ka
10640,court messenger,kọtụma
10641,court messengers,ndị kọtụma
10642,Christ,Kraịst
10643,a Christian,onye ọtuụ Kraịst
10644,Christianity,ọtuụ Kraịst
10645,scoop up and carry liquid,ku
10646,scoop,ku eku
10647,ladle,ku eku
10648,scoop water out of a vessel,ku mmili
10649,bring water,kunye mmili
10650,Give me water,Kụnye m mmili
10651,scoop up soup,ku ofe
10652,fetch water in a vessel,kute mmili
10653,see kwu,ku
10654,see kwu,kwu
10655,blow,kụ
10656,fan,kụ
10657,breathe,kụ
10658,blowing,ọkụkụ
10659,fanning,ọkụkụ
10660,breathing,ọkụkụ
10661,fan,kụ akụpe
10662,stop breathing,kụdebe ume
10663,moving rapidly past,kụfe
10664,creating a current of air,kụfe
10665,pass away,kụfe ekufe
10666,blow over as the wind,kụfe ekufe
10667,pant,kụ n'anya n'anya
10668,He ran and started panting,Ọ gbalụ ọsọ
10669,He ran and started panting,wee na-ekụ n'anya n'anya
10670,faint,kụpụ ume
10671,be faint,kụpụ ume
10672,breathe,kụ ume
10673,cease to breathe,kụb� ume
10674,die,kụb� ume
10675,wing,ṅku
10676,lung,ọkụkụ ume
10677,carry,kụ
10678,bring in,kụbata
10679,Bring the child into the house,Kubata nnwa n'ụnọ
10680,take the wife of a dead relation,kụchi nwunye
10681,bring down,kụda
10682,nurse,kụ n'aka
10683,hold in the arms,kụ n'aka
10684,lift up,kụni
10685,rise,kụni
10686,get up,kụni
10687,He is risen,O kụnigo
10688,She is going to pick up the child who has fallen down,Ọ na-eje ikụn� nwa dalụ ada
10689,hold at the breast,kụ n'ob�
10690,carry in the bosom,kụ n'ob�
10691,present child at naming ceremony,kupụte
10692,present child at naming ceremony,kupụta
10693,call,kụ
10694,call,kpọ
10695,invite masquerader to a place,kụ mmụọ
10696,call upon,tikụ
10697,sweet potato,kukunduku
10698,teach,ku zi
10699,teaching,nkuzi
10700,teacher,onye nkuzi
10701,instructor,onye nkuzi
10702,teacher training,ọzụzụ nkuzi
10703,plant,kụ
10704,planting,ọkụkụ
10705,time for planting,ọkụkụ
10706,I shall come during the maizeplanting season,Aga m abịa n'ọkụkụ ọka
10707,plant maize,kụ ọka
10708,anything to be planted,ife ọkụkụ
10709,knock,kụ
10710,strike,kụ
10711,ring,kụ
10712,knocking,ọkụkụ
10713,striking,ọkụkụ
10714,ringing,ọkụkụ
10715,clap hands,kụ aka
10716,break into parts,kụji
10717,collide,kụkọlịta
10718,collision,nkụkọlịta
10719,break,kụkpọ
10720,smash,kụkpọ
10721,break down,kụkpọ
10722,revenge/avenge a beating,kụ kwali
10723,break into pieces,kụl�
10724,ring a bell,kụ mgbịlịgba
10725,knock ọfọ on the ground,kụ ọfọ
10726,knock ọfọ on the ground,ọfọ
10727,knock the head with the knuckles,kụ ọkpọ
10728,box,kụ ọkpọ
10729,smash into pieces,kụpịa
10730,knock off,kụpụ
10731,fail,kụpụ aka
10732,give up,kụpụ aka
10733,Ife a kụsịsịlị ya aka This thing discouraged him,kụsịsị aka
10734,Ife a kụsịsịlị ya aka This thing discouraged him,Ife a kụsịsịlị ya aka
10735,influenza,ọk ụ ọkpọkpọ
10736,mix,kụ
10737,mix wine,kụ mmanya
10738,mix poison,kụ nsị
10739,practise sorcery,kụ nsị
10740,mix medicine,kụ ọgwụ
10741,upon,kụ
10742,to,kụ
10743,against,kụ
10744,fall against,dakụlụ
10745,stick to,takụ
10746,hook,kụ
10747,catch fish,kụ azụ
10748,fish with hook,kụ azụ
10749,I saw some people fishing in Obosi river,Afụlụ m ndi na-akụ azụ na mmili Obosi
10750,or I saw some fishermen in Obosi river,Afụlụ m ndi na-akụ azụ na mmili Obosi
10751,put in fetters,kụ ịga
10752,handcuff,kụ ịga
10753,sit cross-legged,kụ gwụlo
10754,dried fish which is rolled up with a stick through it,azụ m gbaakụlụ
10755,My sister sells mgbaakụlụ fish,Nwanne m nwaany� na-ele azụ mgbaakụlụ
10756,My sister sells mgbaakụlụ fish,mgbaakụlụ
10757,bring into use,kụ
10758,esp. for food production,kụ
10759,cultivate land,kụ
10760,tend livestock,kụ
10761,supply with food,kụ nni
10762,cultivate,kụ nni
10763,What are you going to do in the farm this morning? I am going to cultivate some crops,Ọ gịnị ka ị na-eje ime n'ub� n'ụtụtụ a? Ana m eje ịkụ nni
10764,tend,kụ ọkụ
10765,keep livestock,kụ ọkụ
10766,Keeping livestock is a good hobby,Ịkụ ọkụ bụ ezigbọ ọlụ
10767,use slang word,kụ
10768,use slang word,kụ akụkụ
10769,used in,kụ
10770,turn the back on,gbakụta azụ
10771,press to one's body,makụ
10772,embrace,makụ
10773,embrace completely,makụta
10774,start,kụ ja
10775,be startled,kụ ja
10776,a start,nkụja
10777,shock,nkụja
10778,completely,kụ ta
10779,contest all,gbakụta
10780,say all,kwukụta
10781,know all,makụta
10782,hear all,nụkụta
10783,reply to all,sakụta
10784,move with an instrument,kpa
10785,propel,kpa
10786,hence,kpa
10787,in a more abstract sense,kpa
10788,cause,kpa
10789,propelling,okpụkpa
10790,be mischievous,kpa aka anị
10791,play tricks,kpa aka anị
10792,pick with an instrument,kpa akpa
10793,cause laughter,kpa amụ
10794,He made a joke,Ọ kpalụ amụ
10795,He's making fun of me,O jị m akpa amụ
10796,dribble a ball,kpa bọọlụ
10797,scrape,kpacha
10798,make neat,kpacha
10799,do something purposely,kpacha anya
10800,scrape yam,kpacha ji
10801,be careful,kpachalụ anya
10802,warned,kpachalụ anya
10803,cautious,kpachalụ anya
10804,beware,kpachalụ anya
10805,take heed,kpachalụ anya
10806,see kpapụ,kpachapụ
10807,see kpapụ,kpapụ
10808,take care,kpachapụ anya
10809,be careful,kpachapụ anya
10810,vigilant,kpachapụ anya
10811,bring out with an instrument,kpachapụta
10812,to pick out,kpachapụta
10813,expose,kpachapụta
10814,bring out by scraping,kpachapụta
10815,be spread,kpalachi
10816,strewn upon,kpalachi
10817,raise,kpani
10818,lift up,kpani
10819,stir up,kpani
10820,provoke,kpani
10821,incite,kpani
10822,provoke to anger,kpani iwe
10823,Please do not anger me,Biko akpanikwona m iwe
10824,make a small present,kpanye
10825,give a tip,kpanye
10826,What did you give the child who visited you?,gịni ka ị kpanyelụ nwata bịalụ kene gị?
10827,make boundary,kpa oke
10828,move  aside to show demarcation,kpa oke
10829,making of boundary,okpụkpa anị
10830,make boundary between lands,kpa oke anị
10831,cause laughter,kpa ọchị
10832,His remark gave rise to laughter,Ife o kwụlụ kpalụ ọchị
10833,strike a match,kpa ọkụ
10834,turn on a light,kpa ọkụ
10835,matches,mkpa ọkụ
10836,matches,mkpa nọkụ
10837,shove off,kpapụ
10838,brush off,kpapụ
10839,set aside,kpapụ
10840,Please take that millipede outside,Biko
10841,Please take that millipede outside,kpapụ alịlị afụ ịlo
10842,push out,Biko
10843,push out,kpapụ alịlị afụ ịlo
10844,scatter,kpasa
10845,spread wide open,kpasapụ
10846,disturb,kpasu
10847,trouble,kpasu
10848,provoke,kpasu
10849,excitement,mkpasu
10850,provocation,mkpasu
10851,provoke to anger,kpasu iwe
10852,annoy,kpasu iwe
10853,His lies make me angry,Asị ya na-akpasu m iwe
10854,or I am indignant at his lies,Asị ya na-akpasu m iwe
10855,Ada annoyed her mother,Ada kpasụlụ nne ya iwe
10856,Why did you frown in the morning? It was Ada who annoyed me,Ọ bụ gịnị kpatalụ i jị gbaka iru n'ụtụtụ? Ọ bụ Ada kpasụlụ m iwe
10857,provocation,mkpasu iwe
10858,cause,kpata
10859,You were the cause of my being flogged this morning,Ọ bụ gị kpatalụ ife e jị pịa m ịtalị n'ụtụtụ a
10860,rustle,kpatụ
10861,rustling,mkpatụ
10862,be mildly mentally deranged,{agwụ) kpa
10863,be mad,kpa
10864,Are you mad?,Ọọala na-akpa ị?
10865,gather,kpa
10866,search for,kpa
10867,collect herbs,kpa afịfịa
10868,search for palm-kernels in the farm,kpa akụ
10869,The children have gone in search of kernels,Ụmụ aka ejego ịkpa akụ
10870,the search for kernels,mkpa akụ
10871,play a board game like draughts,mkpa akụ
10872,Come and play a  game with me,Bịa solu m kpaa akụ
10873,gather,kpakọ
10874,collect,kpakọ
10875,gather together into,kpakọba
10876,heap up,kpakọba
10877,gather and give or put into,kpakọnye
10878,gather,kpakọta
10879,collect  and bring,kpakọta
10880,I want you to go and fetch firewood,Acholụ m ka ụnụ jee kpakọta nkụ
10881,seek diligently,kpa mkpa
10882,search for carefully e.g. kpa mkpa akụ search for palm kernels in the farm,kpa mkpa
10883,seek diligently,kpa mkpa akụ
10884,search for carefully e.g. kpa mkpa akụ search for palm kernels in the farm,kpa mkpa akụ
10885,gather firewood,kpa nkụ
10886,wander about in farm,kpa nni
10887,forest,kpa nni
10888,etc.,kpa nni
10889,in search of food,kpa nni
10890,acquire,kpata
10891,collect,kpata
10892,amass wealth,kpata akụ
10893,acquire money,kpata ego
10894,pluck,kpata ego
10895,collect,kpa akwụkwọ
10896,pluck leaves,kpa akwụkwọ
10897,walk,kpa
10898,move,kpa
10899,wander about,kpa
10900,behave,kpa agwa
10901,behave badly,kpa agwa ọjọo
10902,make bad or disagreeable friendship,kpa ajọ ụkpa
10903,walk with criminals or suspects,kpa ajọ ụkpa
10904,keep bad company,kpa ajọ ụkpa
10905,walk,kpabata
10906,wander in,kpabata
10907,go astray,kpafụ
10908,stray and get lost,kpafụ
10909,negligence,mkpafụli
10910,going astray,mkpafụli
10911,walk up,kpago
10912,stray up,kpago
10913,a walk about,kpaghalị
10914,stroll,kpaghalị
10915,wander about,kpaghalị
10916,walk together,kpakọ
10917,intercourse,mkpakọ
10918,encounter each other suddenly,kpakwudo
10919,encounter each other suddenly,kpakwụdo
10920,overtake,kpakwudo
10921,overtake,kpakwụdo
10922,forsake,kpanarị
10923,leave behind,kpanarị
10924,walk together,kpa ndu
10925,be companions,kpa ndu
10926,escort,kpa ndu
10927,go out for a walk,kpapụ
10928,be friends,kpa ụkpa
10929,companions,kpa ụkpa
10930,be friends with a thief or thieves,kpa ụkpa oriị
10931,person who is fond of going alone,ọkpa nnaka ya
10932,person who is fond of going alone,ọkpa nnịka ya
10933,who is never found going anywhere in company of friends,ọkpa nnaka ya
10934,who is never found going anywhere in company of friends,ọkpa nnịka ya
10935,solitary person,ọkpa nnaka ya
10936,solitary person,ọkpa nnịka ya
10937,walk,ụkpa
10938,friendship,ụkpa
10939,communion,ụkpa
10940,speak,kpa
10941,cause disturbance,kpa aghala
10942,jest,kpa amụ
10943,trifle,kpa amụ
10944,amuse,kpa amụ
10945,teach,kpagozi
10946,insult,kpalị
10947,show disrespect to,kpalị
10948,an insult,mkpalị
10949,joke,kpa ṅgaṅga
10950,be boastful,kpa ṅgaṅga
10951,talk,kpa nkata
10952,converse,kpa nkata
10953,chat,kpa nkata
10954,Please leave the room for Ibe and myself,Biko nye mụ na Ibe efe nime ụnọ ụla maka na anyị chọlụ ịkpa nkata nebe afụ
10955,for we want to chat there,Biko nye mụ na Ibe efe nime ụnọ ụla maka na anyị chọlụ ịkpa nkata nebe afụ
10956,show,kpazi
10957,teach,kpazi
10958,direct,kpazi
10959,buy,kpa
10960,buy oil,kpa manụ
10961,rub oneself with something greasy,kpa manụ
10962,rub on pomade,kpa ụde
10963,grease,kpa ụde
10964,ointment,kpa ụde
10965,cream,kpa ụde
10966,rear,kpa
10967,I am nursing a baby,Akpa m mkpa n'aka
10968,keep livestock,kpa ife enunu
10969,be few,kpa
10970,scarce,kpa
10971,be few,kpa mkpa
10972,scarce,kpa mkpa
10973,press together,kpa
10974,suppression,ọkpụkpa
10975,compression,ọkpụkpa
10976,be narrow,kpa akpa
10977,be narrow,kpa mkpa
10978,tight,kpa akpa
10979,tight,kpa mkpa
10980,pressed together,kpa akpa
10981,pressed together,kpa mkpa
10982,choked,kpa akpa
10983,choked,kpa mkpa
10984,crowded,kpa akpa
10985,crowded,kpa mkpa
10986,restrict,kpa akpa
10987,restrict,kpa mkpa
10988,oppress,kpa akpa
10989,oppress,kpa mkpa
10990,ill-treat,kpa akpa
10991,ill-treat,kpa mkpa
10992,deny freedom,kpa akpa
10993,deny freedom,kpa mkpa
10994,capture,kpa akpa
10995,capture,kpa mkpa
10996,kidnap,kpa akpa
10997,kidnap,kpa mkpa
10998,Our chief has been kidnapped,Fa akpalụgo eze anyị na mkpa
10999,lock in or out,kpachibịdo
11000,lock up,kpachisị
11001,lock,kpachi
11002,pile up,kpado
11003,store,kpado
11004,board,kpado
11005,cover up,kpado
11006,intrude,kpafanye
11007,force in between tight space,kpafanye
11008,insert,kpafanye
11009,choke,kpagbu
11010,suffocate,kpagbu
11011,do wrong to,kpagbu
11012,oppress,kpagbu
11013,harass,kpagbu
11014,trouble,kpagbu
11015,tribulation,mkpagbu
11016,oppression,mkpagbu
11017,trouble,mkpagbu
11018,press open,kpaghe
11019,unlock,kpaghe
11020,Please unlock the door for me,Biko kpagheelụ m ụzo
11021,break,kpaji
11022,snap,kpaji
11023,break,kpajipụ
11024,snap off,kpajipụ
11025,break into two equal parts,kpajira
11026,break and bring,kpajita
11027,be tight or packed,kpakọ
11028,sit close together so as to leave little or no space in between,kpakọ
11029,See kpa akpa,kpa mkpa
11030,See kpa akpa,kpa akpa
11031,listen carelessly,kpa ntị
11032,pretend not to hear,kpa ntị
11033,be obstinate,kpa ntị
11034,become,kpa ọnụ
11035,render speechless,kpa ọnụ
11036,be dumbfounded,kpa ọnụ
11037,What Ada did where we went left me dumbfounded,Ife Ada melụ nebe anyị jelụ kpalụ m ọnụ
11038,goggling eyes,anya akpa
11039,lose appetite,kpa
11040,I have no appetite,Ọnụ kpalụ m
11041,be speechless,Ọnụ kpalụ m
11042,be unable to speak much,Ọnụ kpalụ m
11043,or at all,Ọnụ kpalụ m
11044,speechlessness,ọnụ okpụkpa
11045,exhaustion,ọnụ okpụkpa
11046,utter weariness,ọnụ okpụkpa
11047,be needful,kpa
11048,What are you in need of?,gịni na-akpa gị?
11049,need,kpa mkpa
11050,have need,kpa mkpa
11051,be necessary,kpa mkpa
11052,compel,kpa mkpa
11053,I am seriously in need of glasses,Enyo anya na-akpa m mkpa ṅke nnukwu
11054,need,mkpa
11055,necessity,mkpa
11056,tie permanently,kpa
11057,stack,kpa
11058,plait,kpa
11059,weave,kpa
11060,plaiting,okpụkpa
11061,plaiting of hair,okpụkpa isiị
11062,weave cloth,kpa akwa
11063,plait hair,kpa isi
11064,stack yams,kpa ji
11065,make basket,kpa ṅkata
11066,trim,kpa
11067,cut,kpa
11068,trimming,okpụkpa
11069,cutting,okpụkpa
11070,barb,kpacha cut
11071,barb,trim
11072,crop,kpacha cut
11073,crop,trim
11074,crop,kpacha ajị
11075,shave,kpacha ajị
11076,cut hair,kpacha ajị
11077,crop,kpacha ajị anụ
11078,shave,kpacha ajị anụ
11079,cut hair of animal,kpacha ajị anụ
11080,barb,kpacha isi
11081,cut hair,kpacha isi
11082,crop,kpachapụ
11083,cut,kpachapụ
11084,trim off,kpachapụ
11085,cut,kpachasị
11086,shave,kpachasị
